Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Panama,PAN,1132997,1276331,1434669,1607796,1791380,1978487,2170325,2368551,2575954,2796291,3030328,3269356,3516204,3770624,4037078
Peru,PER,10155015,11383373,12735486,14221961,15838572,17547610,19319746,21153459,22966818,24753824,26459944,27624213,28562317,29506788,30926032
Philippines,PHL,26269734,29958688,33795194,37923396,42446653,47357743,52827040,58795001,65020116,71401749,77991755,84710542,90901965,97212638,103663927
Palau,PLW,9771,10799,11464,12340,12837,12179,13195,14402,15856,17593,19105,19867,18704,17640,17725
Papua New Guinea,PNG,2255859,2434223,2656633,2918139,3219829,3571205,3975956,4399324,4836217,5314248,5847586,6354245,6976201,7631002,8271760
Poland,POL,29637450,31139450,32294655,33055650,34356300,35574150,36904134,37824487,38363667,38624370,38258629,38182222,38125759,38063164,37970087
Pre-demographic dividend,PRE,187617091,205835453,227201434,252097524,282049515,317462492,352822108,392393097,440397767,494517676,550660001,617518671,691447610,775573001,869943914
Puerto Rico,PRI,2358000,2554066,2662064,2817256,3043854,3206000,3344190,3473898,3585176,3724655,3810605,3826878,3760866,3634488,3406672
"Korea, Dem. People's Rep.",PRK,11424176,12282419,13609982,15207771,16554746,17472140,18590138,19708323,20937404,22113438,22929075,23732731,24310142,24800612,25307744
Portugal,PRT,8857716,9035365,8836650,8630430,9355810,9766312,9996232,10019610,9952494,10063945,10289898,10483861,10558177,10514844,10325452
Paraguay,PRY,1903982,2115567,2351925,2597154,2861867,3181625,3571272,4001681,4445016,4887632,5323201,5730549,6081296,6421512,6777872
West Bank and Gaza,PSE,,,,,,,,,2163591,2587997,2922153,3236626,3591977,3979998,4367088
Pacific island small states,PSS,865072,984823,1098154,1202157,1306046,1420310,1555389,1650442,1750921,1868414,1962452,2050572,2157454,2268708,2388307
Post-demographic dividend,PST,754514355,793187000,824783296,857079394,885141869,909865629,931345425,952208537,977682877,1000603731,1020504904,1041075168,1064394156,1082327434,1101715022
French Polynesia,PYF,78076,90139,103342,118440,135549,153301,172249,191266,207245,222322,240686,255992,264061,268998,274575
Qatar,QAT,47384,67566,93211,130500,173721,223632,341272,443605,495395,522531,592468,753334,1436665,2196074,2654374
Romania,ROU,18406905,18919126,19799831,20657957,21551634,22207282,22640547,23057662,22794284,22619004,22442971,21451748,20537875,20058035,19702267
Russian Federation,RUS,119897000,125345000,128928000,131909000,135147000,139010000,142745000,146857000,148538197,148160129,146596869,144067316,142742366,143201721,144342396
Rwanda,RWA,2935582,3164263,3529843,3987224,4506109,5153312,5902843,7088191,6702244,6013107,7933681,8680524,9524534,10549678,11668818
